"key","date","mobility_retail_and_recreation","mobility_grocery_and_pharmacy","mobility_workplaces","new_confirmed","new_deceased","average_temperature","rainfall"
"US_NJ_34035","6/14/20",-44,-13,-10,3,1,17.538889,0
"US_NJ_34037","6/14/20",-5,4,0,1,0,15.6,0
"US_NJ_34039","6/14/20",-34,-8,-14,-15,5,17.561111,0
"US_NJ_34041","6/14/20",-12,0,-5,0,0,16.35,0
"US_NJ_34001","6/15/20",-25,11,-39,7,0,17.950617,0
"US_NJ_34003","6/15/20",-35,-7,-49,30,2,18.488889,0
"US_NJ_34005","6/15/20",-32,1,-43,18,1,19.005556,0
"US_NJ_34007","6/15/20",-21,-3,-41,7,9,18.983333,0
"US_NJ_34009","6/15/20",97,75,-15,1,2,17.756944,0
"US_NJ_34011","6/15/20",-7,0,-26,31,1,18.5625,0
"US_NJ_34013","6/15/20",-33,-8,-42,11,6,18.538889,0
"US_NJ_34015","6/15/20",-16,2,-39,2,6,19.472222,0
"US_NJ_34017","6/15/20",-26,-6,-52,19,2,18.938889,0
"US_NJ_34019","6/15/20",-28,1,-47,2,0,18.077778,0
"US_NJ_34021","6/15/20",-34,-9,-46,20,-1,19.027778,0
"US_NJ_34023","6/15/20",-33,-8,-47,28,7,17.838889,0
"US_NJ_34025","6/15/20",-25,1,-41,21,6,18.322222,0
"US_NJ_34027","6/15/20",-34,-8,-50,7,3,18.005556,0
"US_NJ_34029","6/15/20",-16,6,-34,14,3,18.111111,0
"US_NJ_34031","6/15/20",-28,-8,-37,22,2,18.288889,0
"US_NJ_34033","6/15/20",-18,3,-29,2,0,19.061111,0
"US_NJ_34035","6/15/20",-36,-11,-50,5,0,18.3,0
"US_NJ_34037","6/15/20",-10,-1,-39,1,0,16.711111,0
"US_NJ_34039","6/15/20",-21,-7,-41,-14,2,18.538889,0
"US_NJ_34041","6/15/20",-8,-6,-37,0,0,17.316667,0
"US_NJ_34001","6/16/20",-23,12,-39,42,0,17.888889,0
"US_NJ_34003","6/16/20",-33,-2,-49,53,9,19.372222,0
"US_NJ_34005","6/16/20",-31,6,-45,35,0,19.061111,0
"US_NJ_34007","6/16/20",-21,0,-41,15,1,18.95,0
"US_NJ_34009","6/16/20",93,65,-17,9,0,17.944444,0
"US_NJ_34011","6/16/20",-8,0,-27,31,6,18.722222,0
"US_NJ_34013","6/16/20",-31,-5,-42,13,0,19.216667,0
"US_NJ_34015","6/16/20",-18,2,-40,7,1,19.372222,0
"US_NJ_34017","6/16/20",-24,0,-53,-21,-1,19.594444,0
"US_NJ_34019","6/16/20",-27,7,-48,1,0,18.794444,0.0254
"US_NJ_34021","6/16/20",-34,-4,-46,10,5,19.15,0
"US_NJ_34023","6/16/20",-33,-4,-48,16,2,18.444444,0
"US_NJ_34025","6/16/20",-25,6,-42,25,9,18.994444,0
"US_NJ_34027","6/16/20",-33,-3,-50,11,1,18.744444,0.0254
"US_NJ_34029","6/16/20",-15,9,-35,21,6,18.191358,0
"US_NJ_34031","6/16/20",-28,-1,-39,15,5,19.222222,0.0254
"US_NJ_34033","6/16/20",-17,0,-29,3,1,19.266667,0
"US_NJ_34035","6/16/20",-36,-7,-52,3,1,18.855556,0
"US_NJ_34037","6/16/20",-9,1,-40,6,1,17.872222,0.0254
"US_NJ_34039","6/16/20",-22,-2,-41,12,2,19.216667,0
"US_NJ_34041","6/16/20",-9,-2,-38,3,2,18.316667,0.0254
"US_NJ_34001","6/17/20",-28,6,-41,14,4,17.87037,0.28575
"US_NJ_34003","6/17/20",-34,-3,-49,27,8,19.994444,0
"US_NJ_34005","6/17/20",-34,2,-44,6,0,18.855556,0
"US_NJ_34007","6/17/20",-25,-4,-41,7,0,19.044444,0
"US_NJ_34009","6/17/20",65,60,-19,1,0,17.770833,0.508
"US_NJ_34011","6/17/20",-14,-6,-28,17,4,18.701389,0.4445
"US_NJ_34013","6/17/20",-33,-8,-43,33,4,20.033333,0
"US_NJ_34015","6/17/20",-19,3,-41,5,2,19.338889,0
"US_NJ_34017","6/17/20",-25,-3,-53,11,2,20.322222,0
"US_NJ_34019","6/17/20",-29,5,-48,7,1,19.25,0
"US_NJ_34021","6/17/20",-36,-4,-46,12,1,18.988889,0
"US_NJ_34023","6/17/20",-34,-4,-48,39,9,19.122222,0
"US_NJ_34025","6/17/20",-26,6,-43,18,1,19.272222,0
"US_NJ_34027","6/17/20",-34,-6,-50,28,0,19.605556,0
"US_NJ_34029","6/17/20",-18,6,-36,27,2,17.987654,0
"US_NJ_34031","6/17/20",-28,-5,-39,19,1,19.977778,0
"US_NJ_34033","6/17/20",-20,3,-31,12,2,19.266667,0
"US_NJ_34035","6/17/20",-37,-8,-51,13,0,19.527778,0
"US_NJ_34037","6/17/20",-13,-1,-39,6,0,18.755556,0
"US_NJ_34039","6/17/20",-22,-5,-42,-5,1,20.033333,0
"US_NJ_34041","6/17/20",-8,-3,-38,1,0,18.988889,0
"US_NJ_34001","6/18/20",-26,9,-41,30,3,19.691358,1.3264444
"US_NJ_34003","6/18/20",-33,1,-50,21,3,20.844444,0
"US_NJ_34005","6/18/20",-32,0,-45,19,3,20.1,0.9398
"US_NJ_34007","6/18/20",-25,-3,-42,14,0,20.622222,1.7272
"US_NJ_34009","6/18/20",80,64,-19,-2,1,19.909722,1.143
"US_NJ_34011","6/18/20",-12,-1,-29,10,0,20.520833,0.79375
"US_NJ_34013","6/18/20",-33,-4,-43,78,3,20.694444,0
"US_NJ_34015","6/18/20",-22,2,-41,10,1,21,1.3208
"US_NJ_34017","6/18/20",-23,0,-53,-2,-1,20.666667,0
"US_NJ_34019","6/18/20",-31,7,-49,0,0,20.861111,0.0762
"US_NJ_34021","6/18/20",-37,-5,-46,23,1,20.183333,0.6604
"US_NJ_34023","6/18/20",-34,-6,-48,34,0,19.661111,0.11288889
"US_NJ_34025","6/18/20",-29,7,-43,26,4,19.422222,0.28222222
"US_NJ_34027","6/18/20",-34,-3,-50,25,-2,21,0
"US_NJ_34029","6/18/20",-19,8,-37,45,7,19.240741,0.84666667
"US_NJ_34031","6/18/20",-26,0,-40,23,2,21.255556,0
"US_NJ_34033","6/18/20",-23,3,-30,13,4,20.9,0.254
"US_NJ_34035","6/18/20",-38,-6,-51,6,1,20.522222,0.056444444
"US_NJ_34037","6/18/20",-12,4,-40,3,1,20.761111,0
"US_NJ_34039","6/18/20",-26,-4,-42,-11,1,20.694444,0
"US_NJ_34041","6/18/20",-13,-5,-38,-1,-1,20.95,0
"US_NJ_34001","6/19/20",-30,11,-42,36,1,21.969136,0.81844444
"US_NJ_34003","6/19/20",-34,2,-48,18,7,22.361111,0.0254
"US_NJ_34005","6/19/20",-34,2,-44,27,3,23.233333,2.2352
"US_NJ_34007","6/19/20",-27,-2,-40,27,-2,22.988889,0.6096
"US_NJ_34009","6/19/20",113,86,-18,1,0,21.506944,0.15875
"US_NJ_34011","6/19/20",-18,-4,-29,12,1,22.118056,0.4445
"US_NJ_34013","6/19/20",-36,-6,-42,34,0,21.944444,0.0508
"US_NJ_34015","6/19/20",-26,3,-40,13,2,23.022222,0.7112
"US_NJ_34017","6/19/20",-25,2,-50,8,5,22.016667,0.0508
"US_NJ_34019","6/19/20",-29,8,-48,1,0,22.761111,1.3462
"US_NJ_34021","6/19/20",-38,-2,-44,47,1,23.116667,2.0574
"US_NJ_34023","6/19/20",-36,-2,-46,16,3,21.316667,1.3462
"US_NJ_34025","6/19/20",-26,12,-41,46,2,21.45,0.8128
"US_NJ_34027","6/19/20",-34,2,-48,27,1,22.5,0.1778
"US_NJ_34029","6/19/20",-15,14,-34,31,7,22.098765,1.6368889
"US_NJ_34031","6/19/20",-29,-1,-38,19,4,22.466667,0.0254
"US_NJ_34033","6/19/20",-23,6,-29,9,0,22.611111,0.4572
"US_NJ_34035","6/19/20",-40,-3,-49,10,-1,22.305556,1.016
"US_NJ_34037","6/19/20",-16,7,-40,6,0,22.255556,0.5334
"US_NJ_34039","6/19/20",-28,-3,-40,-13,-1,21.944444,0.0508
"US_NJ_34041","6/19/20",-17,-1,-38,4,2,22.355556,0.6604
"US_NJ_34001","6/20/20",-29,22,-31,19,1,22.716049,1.4111111
"US_NJ_34003","6/20/20",-40,2,-19,29,2,23.905556,0.084666667
"US_NJ_34005","6/20/20",-35,4,-7,13,0,23.12963,1.4957778
"US_NJ_34007","6/20/20",-32,2,-12,29,1,23.25,1.1684
"US_NJ_34009","6/20/20",185,150,13,24,0,22.729167,1.778
"US_NJ_34011","6/20/20",-13,5,-8,25,4,22.819444,1.80975
"US_NJ_34013","6/20/20",-36,-1,-16,-18,1,23.777778,0.11288889
"US_NJ_34015","6/20/20",-31,2,-7,6,2,23.144444,0.2794
"US_NJ_34017","6/20/20",-25,-3,-18,14,0,24.033333,0.1016
"US_NJ_34019","6/20/20",-27,17,-5,3,0,22.761111,0.28222222
"US_NJ_34021","6/20/20",-37,-1,-8,26,-1,23.04321,1.27
"US_NJ_34023","6/20/20",-38,-2,-12,29,3,22.944444,0.028222222
"US_NJ_34025","6/20/20",-24,16,-9,49,0,23.12963,0.254
"US_NJ_34027","6/20/20",-36,4,-8,10,0,23.627778,0.11288889
"US_NJ_34029","6/20/20",-12,27,-6,31,3,22.5625,1.5875
"US_NJ_34031","6/20/20",-32,4,-16,10,0,23.95,0.084666667
"US_NJ_34033","6/20/20",-9,23,-2,3,0,22.75,0.7874
"US_NJ_34035","6/20/20",-41,0,-7,10,0,23.344444,0.11288889
"US_NJ_34037","6/20/20",-11,19,-3,0,1,22.855556,0.084666667
"US_NJ_34039","6/20/20",-31,1,-14,7,4,23.777778,0.11288889
"US_NJ_34041","6/20/20",-16,7,-9,2,1,22.577778,0.28222222
"US_NJ_34001","6/21/20",-31,20,-30,64,-1,22.876543,1.524
"US_NJ_34003","6/21/20",-42,-8,-11,14,3,24.233333,0
"US_NJ_34005","6/21/20",-35,3,-3,29,1,23.179012,3.4148889
"US_NJ_34007","6/21/20",-27,0,-9,18,0,23.438889,4.572
"US_NJ_34009","6/21/20",174,152,25,-17,0,22.756944,0.09525
"US_NJ_34011","6/21/20",-12,3,-7,55,1,23.388889,0
"US_NJ_34013","6/21/20",-38,-8,-15,36,1,23.972222,0
"US_NJ_34015","6/21/20",-29,0,-5,10,0,23.533333,4.572
"US_NJ_34017","6/21/20",-29,-13,-16,-31,1,24.377778,0
"US_NJ_34019","6/21/20",-29,10,-1,1,0,22.85,2.6416
"US_NJ_34021","6/21/20",-37,-6,-9,52,0,23.098765,2.4553333
"US_NJ_34023","6/21/20",-40,-10,-9,13,1,23.094444,0.8128
"US_NJ_34025","6/21/20",-23,9,-3,17,1,23.438272,0.254
"US_NJ_34027","6/21/20",-38,-11,-2,10,2,23.572222,2.3622
"US_NJ_34029","6/21/20",-13,16,-6,12,2,22.618056,1.7145
"US_NJ_34031","6/21/20",-37,-7,-13,34,1,24.105556,1.6002
"US_NJ_34033","6/21/20",-23,14,-4,2,0,23.288889,1.397
"US_NJ_34035","6/21/20",-42,-9,-7,7,0,23.361111,0.8128
"US_NJ_34037","6/21/20",-11,6,-1,0,0,22.794444,2.3622
"US_NJ_34039","6/21/20",-34,-6,-12,24,0,23.972222,0
"US_NJ_34041","6/21/20",-14,1,-6,5,0,22.705556,2.3622
"US_NJ_34001","6/22/20",-21,13,-40,20,0,24.524691,0.19755556
"US_NJ_34003","6/22/20",-30,-8,-50,27,5,26.183333,0
"US_NJ_34005","6/22/20",-29,-3,-45,23,1,25.766667,0.3556
"US_NJ_34007","6/22/20",-23,-5,-42,18,1,25.316667,0.4318
"US_NJ_34009","6/22/20",127,96,-18,4,0,23.701389,0.09525
"US_NJ_34011","6/22/20",-12,-5,-30,29,0,24.125,0
"US_NJ_34013","6/22/20",-30,-10,-43,27,1,26.144444,0
"US_NJ_34015","6/22/20",-19,1,-42,4,0,25.161111,0.4318
"US_NJ_34017","6/22/20",-22,-7,-53,11,4,26.361111,0
"US_NJ_34019","6/22/20",-25,7,-50,6,0,25.55,0
"US_NJ_34021","6/22/20",-34,-9,-47,8,0,25.916667,0.3556
"US_NJ_34023","6/22/20",-29,-9,-48,13,0,25.4,0
"US_NJ_34025","6/22/20",-19,5,-43,23,1,25.716667,0.1778
"US_NJ_34027","6/22/20",-27,-7,-51,19,2,25.994444,0
"US_NJ_34029","6/22/20",-10,8,-35,15,3,24.91358,0.39511111
"US_NJ_34031","6/22/20",-26,-11,-39,3,1,26.183333,0
"US_NJ_34033","6/22/20",-26,-2,-32,2,1,24.561111,0
"US_NJ_34035","6/22/20",-34,-9,-51,6,2,25.905556,0
"US_NJ_34037","6/22/20",-10,0,-40,2,0,25.005556,0
"US_NJ_34039","6/22/20",-21,-9,-43,18,3,26.144444,0
"US_NJ_34041","6/22/20",-6,-5,-40,2,0,25.238889,0
"US_NJ_34001","6/23/20",-18,15,-40,28,2,25.117284,0.31044444
"US_NJ_34003","6/23/20",-28,0,-49,32,5,25.911111,0
"US_NJ_34005","6/23/20",-27,3,-45,10,0,26.261111,0
"US_NJ_34007","6/23/20",-20,-1,-42,10,4,26.138889,0.1778
"US_NJ_34009","6/23/20",139,100,-14,2,1,24.722222,0.34925
"US_NJ_34011","6/23/20",-11,-4,-29,18,2,24.791667,2.44475
"US_NJ_34013","6/23/20",-29,-5,-43,14,4,26.011111,0
"US_NJ_34015","6/23/20",-19,1,-42,18,1,25.833333,1.8542
"US_NJ_34017","6/23/20",-20,-1,-53,18,2,26.2,0
"US_NJ_34019","6/23/20",-25,10,-50,2,0,25.861111,0
"US_NJ_34021","6/23/20",-34,-6,-47,11,6,26.277778,0
"US_NJ_34023","6/23/20",-30,-4,-49,22,3,25.4,0
"US_NJ_34025","6/23/20",-18,12,-43,33,4,25.455556,0
"US_NJ_34027","6/23/20",-27,-2,-50,9,-1,26.144444,0
"US_NJ_34029","6/23/20",-8,12,-36,26,10,25.197531,0
"US_NJ_34031","6/23/20",-23,-2,-39,22,4,26.166667,0
"US_NJ_34033","6/23/20",-21,15,-30,0,2,25.072222,1.8034
"US_NJ_34035","6/23/20",-33,-5,-51,-1,1,26.022222,0
"US_NJ_34037","6/23/20",-6,3,-40,0,1,25.216667,0
"US_NJ_34039","6/23/20",-20,-4,-42,1,1,26.011111,0
"US_NJ_34041","6/23/20",-9,-5,-40,3,2,25.311111,0
"US_NJ_34001","6/24/20",-17,14,-38,21,2,26.438272,0
"US_NJ_34003","6/24/20",-28,-1,-47,28,8,25.777778,0.0254
"US_NJ_34005","6/24/20",-27,0,-44,12,1,26.672222,0
"US_NJ_34007","6/24/20",-20,-2,-41,22,4,26.661111,0.3302
"US_NJ_34009","6/24/20",139,94,-15,3,0,26.361111,0
"US_NJ_34011","6/24/20",-10,-4,-26,14,0,26.208333,0.15875
"US_NJ_34013","6/24/20",-28,-6,-42,25,-1,25.977778,0.0254
"US_NJ_34015","6/24/20",-17,2,-39,8,0,26.416667,0.4572
"US_NJ_34017","6/24/20",-20,-3,-52,-2,4,26.133333,0.0254
"US_NJ_34019","6/24/20",-23,12,-47,2,0,25.588889,2.5654
"US_NJ_34021","6/24/20",-32,-3,-45,12,5,26.4,0.0254
"US_NJ_34023","6/24/20",-29,-3,-47,0,3,25.594444,0.0254
"US_NJ_34025","6/24/20",-17,11,-41,10,2,25.9,0
"US_NJ_34027","6/24/20",-27,-4,-49,-3,2,25.783333,2.921
"US_NJ_34029","6/24/20",-8,11,-34,20,6,26.271605,0
"US_NJ_34031","6/24/20",-24,-4,-38,-6,6,25.783333,2.8956
"US_NJ_34033","6/24/20",-21,6,-31,-2,0,26,0.127
"US_NJ_34035","6/24/20",-34,-8,-50,1,3,25.911111,0.0508
"US_NJ_34037","6/24/20",-10,-1,-37,2,0,24.438889,5.3848
"US_NJ_34039","6/24/20",-19,-3,-40,-11,1,25.977778,0.0254
"US_NJ_34041","6/24/20",-6,-4,-37,1,0,24.772222,4.826
"US_NJ_34001","6/25/20",-21,13,-39,30,14,23.740741,0.98777778
"US_NJ_34003","6/25/20",-29,2,-48,333,265,24.872222,0
"US_NJ_34005","6/25/20",-29,5,-44,54,41,24.488889,0.98777778
"US_NJ_34007","6/25/20",-23,-1,-41,74,49,24.638889,0.7366
"US_NJ_34009","6/25/20",141,100,-16,11,4,23.895833,0
"US_NJ_34011","6/25/20",-13,-3,-29,21,12,24.333333,0
"US_NJ_34013","6/25/20",-28,-5,-42,257,247,24.861111,0
"US_NJ_34015","6/25/20",-21,4,-40,28,8,24.533333,0
"US_NJ_34017","6/25/20",-22,2,-52,175,172,25.383333,0
"US_NJ_34019","6/25/20",-27,10,-48,56,55,23.5,0.254
"US_NJ_34021","6/25/20",-34,-3,-46,61,38,24.255556,0.87488889
"US_NJ_34023","6/25/20",-30,-2,-47,227,200,24.088889,0.0508
"US_NJ_34025","6/25/20",-21,10,-42,115,95,24.577778,0.22577778
"US_NJ_34027","6/25/20",-29,-1,-49,107,145,23.938889,0.6604
"US_NJ_34029","6/25/20",-11,12,-35,90,70,23.685185,1.17475
"US_NJ_34031","6/25/20",-23,-1,-38,179,148,24.472222,0.6604
"US_NJ_34033","6/25/20",-21,3,-32,5,4,24.277778,0
"US_NJ_34035","6/25/20",-33,-4,-50,90,80,24.305556,0
"US_NJ_34037","6/25/20",-10,3,-39,40,38,22.177778,2.921
"US_NJ_34039","6/25/20",-20,-3,-41,184,181,24.861111,0
"US_NJ_34041","6/25/20",-9,-6,-38,13,11,22.577778,1.9558
"US_NJ_34001","6/26/20",-25,16,-41,24,2,23.962963,0.056444444
"US_NJ_34003","6/26/20",-33,2,-46,97,2,24.488889,0
"US_NJ_34005","6/26/20",-33,1,-43,8,0,24.05,0.0508
"US_NJ_34007","6/26/20",-27,-3,-40,33,4,24.327778,0
"US_NJ_34009","6/26/20",148,113,-15,2,1,24.319444,0.15875
"US_NJ_34011","6/26/20",-18,-3,-29,8,2,24.465278,0
"US_NJ_34013","6/26/20",-31,-6,-40,29,4,24.283333,0
"US_NJ_34015","6/26/20",-26,0,-39,13,0,24.283333,0
"US_NJ_34017","6/26/20",-27,-2,-49,13,1,24.711111,0
"US_NJ_34019","6/26/20",-27,8,-46,0,0,23.161111,0
"US_NJ_34021","6/26/20",-36,-3,-43,26,4,23.905556,0.0254
"US_NJ_34023","6/26/20",-34,-3,-44,18,3,23.533333,0.0254
"US_NJ_34025","6/26/20",-21,13,-40,27,5,23.861111,0.0762
"US_NJ_34027","6/26/20",-33,0,-46,13,3,23.411111,0
"US_NJ_34029","6/26/20",-11,14,-34,27,4,23.648148,0.084666667
"US_NJ_34031","6/26/20",-28,-3,-37,24,4,24.188889,0
"US_NJ_34033","6/26/20",-23,5,-31,3,1,24.155556,0.0254
"US_NJ_34035","6/26/20",-36,-4,-47,3,0,23.716667,0
"US_NJ_34037","6/26/20",-15,5,-38,2,0,22.116667,0.0762
"US_NJ_34039","6/26/20",-25,-4,-39,22,2,24.283333,0
"US_NJ_34041","6/26/20",-18,-3,-38,1,0,22.4,0
"US_NJ_34001","6/27/20",-25,24,-30,11,3,24.925926,2.0602222
"US_NJ_34003","6/27/20",-41,-7,-19,11,2,23.738889,0.084666667
"US_NJ_34005","6/27/20",-34,3,-7,33,2,24.851852,2.0602222
"US_NJ_34007","6/27/20",-30,0,-12,33,2,25.361111,0.1524
"US_NJ_34009","6/27/20",213,169,17,-1,0,26.076389,0.127
"US_NJ_34011","6/27/20",-16,0,-10,11,1,26.166667,0.381
"US_NJ_34013","6/27/20",-34,-8,-17,30,3,23.816667,0.42333333
"US_NJ_34015","6/27/20",-32,-2,-8,16,0,25.566667,0.3048
"US_NJ_34017","6/27/20",-30,-10,-20,26,3,24.555556,0.381
"US_NJ_34019","6/27/20",-31,10,-5,0,0,22.388889,0.11288889
"US_NJ_34021","6/27/20",-37,-5,-10,-2,1,24.098765,0.84666667
"US_NJ_34023","6/27/20",-38,-9,-13,39,7,23.35,1.1288889
"US_NJ_34025","6/27/20",-28,6,-11,25,1,24.17284,3.2173333
"US_NJ_34027","6/27/20",-37,-1,-10,17,1,22.511111,0.33866667
"US_NJ_34029","6/27/20",-12,18,-9,10,1,24.229167,3.20675
"US_NJ_34031","6/27/20",-32,-5,-16,25,3,23.227778,0.084666667
"US_NJ_34033","6/27/20",-15,17,-6,1,2,25.722222,0.2032
"US_NJ_34035","6/27/20",-39,-8,-9,10,0,23.188889,0.33866667
"US_NJ_34037","6/27/20",-17,7,-6,-1,0,20.444444,0.056444444
"US_NJ_34039","6/27/20",-31,-7,-15,-3,1,23.816667,0.42333333
"US_NJ_34041","6/27/20",-22,-6,-13,2,1,21.105556,0.16933333
"US_NJ_34001","6/28/20",-27,23,-27,17,0,26.666667,5.9548889
"US_NJ_34003","6/28/20",-43,-13,-10,79,0,25.566667,2.2295556
"US_NJ_34005","6/28/20",-35,2,-5,11,3,27.135802,6.5757778
"US_NJ_34007","6/28/20",-26,-3,-8,6,3,27.388889,1.778
"US_NJ_34009","6/28/20",188,164,31,27,0,26.611111,0.381
"US_NJ_34011","6/28/20",-10,-1,-6,6,0,26.868056,0.762
"US_NJ_34013","6/28/20",-32,-12,-13,20,3,25.738889,1.68275
"US_NJ_34015","6/28/20",-28,0,-3,10,1,27.233333,1.3716
"US_NJ_34017","6/28/20",-28,-13,-14,20,1,26.061111,2.2013333
"US_NJ_34019","6/28/20",-25,11,5,9,1,25.483333,4.5155556
"US_NJ_34021","6/28/20",-34,-7,-8,7,0,26.567901,4.1768889
"US_NJ_34023","6/28/20",-38,-12,-5,40,1,25.377778,1.93675
"US_NJ_34025","6/28/20",-17,6,-3,26,2,25.617284,5.588
"US_NJ_34027","6/28/20",-34,-12,-2,15,2,25.233333,1.93675
"US_NJ_34029","6/28/20",-10,10,-4,25,3,26.138889,6.35
"US_NJ_34031","6/28/20",-34,-13,-12,-1,1,25.483333,2.5117778
"US_NJ_34033","6/28/20",-20,10,-7,1,1,26.822222,1.0414
"US_NJ_34035","6/28/20",-38,-11,-4,16,3,25.672222,3.3655
"US_NJ_34037","6/28/20",-7,3,0,5,1,23.516667,5.334
"US_NJ_34039","6/28/20",-29,-10,-9,15,1,25.738889,1.68275
"US_NJ_34041","6/28/20",-12,-1,-5,1,0,24.35,4.064
"US_NJ_34001","6/29/20",-15,18,-36,6,3,26.04321,0.028222222
"US_NJ_34003","6/29/20",-25,-4,-46,21,2,24.766667,4.1656
"US_NJ_34005","6/29/20",-23,2,-43,6,2,26.644444,0.0762
"US_NJ_34007","6/29/20",-16,0,-40,13,2,26.761111,0.1524
"US_NJ_34009","6/29/20",144,111,-11,-20,0,26.131944,0
"US_NJ_34011","6/29/20",-5,1,-28,4,0,26.270833,0.03175
"US_NJ_34013","6/29/20",-21,-6,-40,15,0,24.994444,2.7178
"US_NJ_34015","6/29/20",-15,4,-39,6,1,26.561111,0.1524
"US_NJ_34017","6/29/20",-21,-3,-50,4,0,25.216667,2.7686
"US_NJ_34019","6/29/20",-23,6,-46,2,0,25.338889,0.1524
"US_NJ_34021","6/29/20",-29,-5,-45,8,0,26.483333,0.1778
"US_NJ_34023","6/29/20",-24,-6,-46,0,1,24.994444,0.127
"US_NJ_34025","6/29/20",-10,10,-40,2,0,25.355556,0.1778
"US_NJ_34027","6/29/20",-24,-6,-48,5,1,24.738889,5.1562
"US_NJ_34029","6/29/20",-3,14,-32,5,2,25.839506,0.028222222
"US_NJ_34031","6/29/20",-20,-6,-36,9,2,24.727778,5.5372
"US_NJ_34033","6/29/20",-16,4,-30,6,0,26.166667,0.0508
"US_NJ_34035","6/29/20",-31,-8,-49,1,1,25.372222,2.032
"US_NJ_34037","6/29/20",-5,4,-37,1,0,23.316667,6.5786
"US_NJ_34039","6/29/20",-14,-6,-39,9,0,24.994444,2.7178
"US_NJ_34041","6/29/20",-7,-2,-38,2,0,24.188889,4.9022
"US_NJ_34001","6/30/20",-12,17,-36,18,2,23.709877,0.33866667
"US_NJ_34003","6/30/20",-22,0,-46,48,4,22.25,1.778
"US_NJ_34005","6/30/20",-19,4,-44,26,3,24,0.4572
"US_NJ_34007","6/30/20",-14,1,-40,20,4,24.377778,0.2032
"US_NJ_34009","6/30/20",146,99,-9,28,5,24.673611,0
"US_NJ_34011","6/30/20",-3,1,-29,17,2,25.0625,0
"US_NJ_34013","6/30/20",-20,-7,-41,27,0,22.583333,2.5908
"US_NJ_34015","6/30/20",-12,4,-39,15,0,24.833333,0.2032
"US_NJ_34017","6/30/20",-21,-2,-51,3,2,22.827778,2.7686
"US_NJ_34019","6/30/20",-23,11,-47,4,1,22.688889,0.2286
"US_NJ_34021","6/30/20",-28,-5,-46,25,-1,23.594444,0.5842
"US_NJ_34023","6/30/20",-24,-6,-47,52,3,22.444444,1.397
"US_NJ_34025","6/30/20",-13,10,-41,30,2,22.744444,1.6764
"US_NJ_34027","6/30/20",-24,-2,-48,3,2,22.244444,1.0922
"US_NJ_34029","6/30/20",-4,13,-33,39,9,23.203704,0.67733333
"US_NJ_34031","6/30/20",-19,-3,-37,3,3,22.094444,1.6764
"US_NJ_34033","6/30/20",-14,20,-29,6,0,25.127778,0
"US_NJ_34035","6/30/20",-31,-5,-50,11,0,22.805556,1.1684
"US_NJ_34037","6/30/20",-3,0,-37,2,-1,20.922222,0.8636
"US_NJ_34039","6/30/20",-16,-5,-40,9,1,22.583333,2.5908
"US_NJ_34041","6/30/20",-6,-3,-38,3,2,21.544444,0.0762
